itemId,itemName,itemImageURL
19,Ace Ventura: When Nature Calls (1995),http://www.impawards.com/1995/posters/ace_ventura_when_nature_calls.jpg
20,Money Train (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BYWZlMzIwYzYtOWZiMi00ZGEzLWFhYmQtNmEzYzJlNDg1NjhjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
21,Get Shorty (1995),http://www.impawards.com/1995/posters/get_shorty.jpg
22,Copycat (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
23,Assassins (1995),http://www.impawards.com/1995/posters/assassins_ver1_xlg.jpg
24,Powder (1995),http://c8.alamy.com/comp/BPF90X/sean-patrick-flanery-poster-powder-1995-BPF90X.jpg
25,Leaving Las Vegas (1995),https://www.movieposter.com/posters/archive/main/84/MPW-42058
26,Othello (1995),http://www.impawards.com/1995/posters/othello.jpg
27,Now and Then (1995),http://img.moviepostershop.com/now-and-then-movie-poster-1995-1020204461.jpg
28,Persuasion (1995),https://upload.wikimedia.org/wikipedia/en/thumb/4/46/Persuasion1995cover.jpg/220px-Persuasion1995cover.jpg
29,The City of Lost Children (1995),http://www.impawards.com/1995/posters/city_of_lost_children_ver2.jpg
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),https://resizing.flixster.com/AJhLjggMBBUB3tcfHVC-P-70piI=/206x305/v1.bTsxMTYxNTE2NDtqOzE3Njg0OzEyMDA7NTgwOzg3MA
31,Dangerous Minds (1995),http://static.m4ufree.io/uploads/30003500/Dangerous-Minds-1995-IMDb.jpg
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
33,Babe (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL_.jpg"
34,Carrington (1995),http://www.impawards.com/1995/posters/carrington_ver1.jpg
35,Dead Man Walking (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
36,Across the Sea of Time (1995),https://upload.wikimedia.org/wikipedia/en/0/06/Across_the_Sea_of_Time_Poster.jpg
37,It Takes Two (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMzdhMGU0MzEtZjg1Ny00YzE5LWE0MGQtMTNiN2UwN2I5ZDBjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
38,Clueless (1995),https://vignette.wikia.nocookie.net/scratchpad/images/a/aa/1995_-_Clueless_Movie_Poster.jpg/revision/latest?cb=20140218181041
39,"Cry, the Beloved Country (1995)",http://www.joblo.com/posters/images/full/1995-cry-the-beloved-country-poster4.jpg
40,Richard III (1995),https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Richard_III_1995.png/220px-Richard_III_1995.png
41,Dead Presidents (1995),https://i.pinimg.com/564x/34/ca/6c/34ca6c6c4c53b5c59579112274fa9d12.jpg
42,Restoration (1995),http://www.impawards.com/1995/posters/restoration.jpg
43,Mortal Kombat (1995),http://www.impawards.com/1995/posters/mortal_kombat_ver3.jpg
44,To Die For (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BNGZhYzgwNzItNDljNC00MDM4LThiYjEtNDRhNmE5NDk2MTQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
45,How to Make an American Quilt (1995),https://cdn.traileraddict.com/content/universal-pictures/make_american_quilt.jpg
46,Seven (a.k.a. Se7en) (1995),https://4.bp.blogspot.com/-kepNXm4KXQA/UAalHenUGPI/AAAAAAAAJBk/ESPujY6T2Vc/s1600/Se7en+%281995%29+0.jpg
47,Pocahontas (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL_.jpg"
48,When Night Is Falling (1995),http://www.impawards.com/1995/posters/when_night_is_falling_ver3.jpg
49,The Usual Suspects (1995),http://www.impawards.com/1995/posters/usual_suspects_ver1.jpg
50,Mighty Aphrodite (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMGM1NzM2ZjktNDM5ZS00YmExLTk5ZmYtNDdkNjdkNTdhZWZkXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL_.jpg"
51,Lamerica (1994),http://img.moviepostershop.com/lamerica-movie-poster-1994-1020495018.jpg
52,The Big Green (1995),http://www.impawards.com/1995/posters/big_green_xlg.jpg
53,Georgia (1995),http://img.moviepostershop.com/georgia-movie-poster-1995-1020203863.jpg
54,Home for the Holidays (1995),http://www.impawards.com/1995/posters/home_for_the_holidays_ver1.jpg
55,"The Postman (Postino, Il) (1994)",https://a.ltrbxd.com/resized/film-poster/4/5/6/9/2/45692-the-postman-0-230-0-345-crop.jpg?k=9766f96fb7
56,"The Confessional (Confessionnal, Le) (1995)","https://images-na.ssl-images-amazon.com/images/M/MV5BYzViYmE5OWQtOTlmZi00ZDM2LTg5NTEtYjVkODBhZmI3MGQzXkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1_UY268_CR5,0,182,268_AL_.jpg"
57,The Indian in the Cupboard (1995),http://www.impawards.com/1995/posters/indian_in_the_cupboard.jpg
58,Eye for an Eye (1996),http://www.impawards.com/1996/posters/eye_for_an_eye_xlg.jpg
59,Mr. Holland's Opus (1995),http://yify.online/wp-content/uploads/2016/07/mr-hollands-opus-1995
60,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),http://img.moviepostershop.com/dont-be-a-menace-to-south-central-while-drinking-your-juice-in-the-hood-movie-poster-1996-1020230666.jpg
61,Two if by Sea (1996),http://img.moviepostershop.com/two-if-by-sea-movie-poster-1996-1020205075.jpg
62,Bio-Dome (1996),http://img.moviepostershop.com/bio-dome-movie-poster-1995-1020188260.jpg
63,Lawnmower Man 2: Beyond Cyberspace (1996),https://www.movieposter.com/posters/archive/main/8/A70-4084
64,French Twist (Gazon maudit) (1995),https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Gazon_Maudit_1995_poster.jpg/220px-Gazon_Maudit_1995_poster.jpg
65,Friday (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BYmEwNjNlZTUtNzkwMS00ZTlhLTkyY2MtMjM2MzlmODQyZGVhXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL_.jpg"
66,From Dusk Till Dawn (1996),http://www.impawards.com/1996/posters/from_dusk_till_dawn_ver1.jpg
67,Fair Game (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTE4M2Q2ZjctMGViNS00NzhiLWFkMjMtMjY2NWMzOWUzM2Y3XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
68,Kicking and Screaming (1995),http://www.impawards.com/1995/posters/kicking_and_screaming.jpg
69,"Miserables, Les (1995)",http://www.impawards.com/1995/posters/les_miserables.jpg
70,Bed of Roses (1996),http://img.moviepostershop.com/bed-of-roses-movie-poster-1996-1020220373.jpg
71,Screamers (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BM2M2ZGM0NDUtODRhNS00MjcxLTg3ZWYtYjkyZDJkYmVjOWYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
72,Nico Icon (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BNTY2MDM2NzcyM15BMl5BanBnXkFtZTcwMjk3MzcyMQ@@._V1_UY268_CR0,0,182,268_AL_.jpg"
73,The Crossing Guard (1995),http://www.impawards.com/1995/posters/crossing_guard_ver1.jpg
74,The Juror (1996),"https://images-na.ssl-images-amazon.com/images/M/MV5BYTMzNjAyZTktNzRjMS00ZThmLTk5ODEtZWI5ZmYyZGNiNzMxXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
75,The White Balloon (Badkonake sefid) (1995),https://resizing.flixster.com/5uP9MxIAuQeumpf2jegGEGBb-L4=/206x305/v1.bTsxMTI5Njg2MTtqOzE3NjgwOzEyMDA7OTM2OzEyNTA
76,Things to Do in Denver When You're Dead (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMzI0OWEzZmItOGUyOC00M2Y2LWIzNDEtY2EzYzAwNWI0ZDkyXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX182_CR0,0,182,268_AL_.jpg"
77,Antonia's Line (Antonia) (1995),https://s-media-cache-ak0.pinimg.com/originals/f9/e1/25/f9e1257377b550c13cfa070bcb1395b9.jpg
78,Once Upon a Time... When We Were Colored (1995),http://img.moviepostershop.com/once-upon-a-time-when-we-were-colored-movie-poster-1995-1020204486.jpg
79,Last Summer in the Hamptons (1995),http://www.impawards.com/1995/posters/last_summer_in_the_hamptons.jpg
80,Angels and Insects (1995),http://n.b5z.net/i/u/10068435/i/Angels___Insects__add_size.jpg
81,White Squall (1996),http://www.impawards.com/1996/posters/white_squall.jpg
82,Dunston Checks In (1996),http://www.impawards.com/1996/posters/dunston_checks_in_ver2.jpg
83,Black Sheep (1996),https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/BlackSheep_Poster.jpg/220px-BlackSheep_Poster.jpg
84,Nick of Time (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BODg1ODNjMzItYjRkMS00NmExLTkxNWUtMWYwNWM2NDU1YzU1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR1,0,182,268_AL_.jpg"
85,Mary Reilly (1996),http://www.impawards.com/1996/posters/mary_reilly_ver1.jpg
86,Vampire in Brooklyn (1995),http://www.impawards.com/1995/posters/vampire_in_brooklyn.jpg
87,Beautiful Girls (1996),http://www.impawards.com/1996/posters/beautiful_girls.jpg
88,Broken Arrow (1996),http://www.impawards.com/1996/posters/broken_arrow_ver1.jpg
89,In the Bleak Midwinter (1995),https://resizing.flixster.com/p5wuOFD015U81Ekf7Bgw6eGIniw=/206x305/v1.bTs1MjYzMzg4O2o7MTc2NTU7MTIwMDs0MDA7NTk0
90,"Hate (Haine, La) (1995)","https://images-na.ssl-images-amazon.com/images/M/MV5BNDNiOTA5YjktY2Q0Ni00ODgzLWE5MWItNGExOWRlYjY2MjBlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY268_CR3,0,182,268_AL_.jpg"
91,Shopping (1994),https://ipfs.io/ipfs/QmXoypizjW3WknFiJnKLwHCnL72vedxjQkDDP1mXWo6uco/I/m/Shoppingdvd.jpg
92,Heidi Fleiss: Hollywood Madam (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4NDc5NzQzNF5BMl5BanBnXkFtZTcwMDUyODkxMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
93,City Hall (1996),"https://images-na.ssl-images-amazon.com/images/M/MV5BZDg3M2YzZWQtMmZjZC00NzJmLThiNDMtZjM3Mjk0MjFkOTQ0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL_.jpg"
94,Bottle Rocket (1996),https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Bottle-Rocket.jpg/240px-Bottle-Rocket.jpg
95,Mr. Wrong (1996),http://www.impawards.com/1996/posters/mr_wrong.jpg
96,Unforgettable (1996),http://www.impawards.com/1996/posters/unforgettable.jpg
97,Happy Gilmore (1996),"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NjUxODg3Ml5BMl5BanBnXkFtZTcwNzcyODc5Mw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
98,The Bridges of Madison County (1995),http://thisdistractedglobe.com/wp-content/uploads/2010/04/Bridges-of-Madison-County-DVD.jpg
99,Muppet Treasure Island (1996),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTlmNzhiMWEtOWVjZC00NmM0LTgxNDItMDJmYTkxYTZkY2FjXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL_.jpg"
100,Catwalk (1996),https://s-media-cache-ak0.pinimg.com/originals/42/01/38/42013868f609041cdaf126e5370a8d7a.jpg
101,Braveheart (1995),https://images-na.ssl-images-amazon.com/images/I/A1vggsn4DjL._SY717_.jpg
102,Taxi Driver (1976),http://www.impawards.com/1976/posters/taxi_driver_ver4.jpg
103,Rumble in the Bronx (Hont faan kui) (1995),https://art-s.nflximg.net/25f47/496b6b2fcc190146e86c7de9800b57f92aa25f47.jpg
104,Before and After (1996),http://img.moviepostershop.com/before-and-after-movie-poster-1996-1020231135.jpg
105,Margaret's Museum (1995),http://img.moviepostershop.com/margarets-museum-movie-poster-1995-1010258175.jpg
106,Anne Frank Remembered (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3NjcxMjEwMV5BMl5BanBnXkFtZTYwODMwNTc4._V1_UY1200_CR90,0,630,1200_AL_.jpg"
107,The Young Poisoner's Handbook (1995),http://img.moviepostershop.com/the-young-poisoners-handbook-movie-poster-1995-1020233346.jpg
108,If Lucy Fell (1996),"https://images-na.ssl-images-amazon.com/images/M/MV5BMmFjYWU4YTgtZGQ1OC00ZjhlLWI3ZjMtMzZhN2I1Y2I1MWJjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
109,"Steal Big, Steal Little (1995)",http://www.impawards.com/1995/posters/steal_big_steal_little.jpg
110,The Boys of St. Vincent (1992),"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3NjM3NDQ0M15BMl5BanBnXkFtZTcwNzEwNjMyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
111,Boomerang (1992),http://c8.alamy.com/comp/BPE494/eddie-murphy-poster-boomerang-1992-BPE494.jpg
112,Chungking Express (Chung Hing sam lam) (1994),"https://images-na.ssl-images-amazon.com/images/M/MV5BMGQ5MzljNzYtMDM1My00NmI0LThlYzQtMTg0ZmQ0MTk1YjkxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
113,"The Star Maker (Uomo delle stelle, L') (1995)",http://www.pastposters.com/cw3/assets/product_expanded/(JamieR)__StarMaker(1).jpg
114,Flirting With Disaster (1996),http://www.impawards.com/1996/posters/flirting_with_disaster.jpg
115,The NeverEnding Story III (1994),"https://images-na.ssl-images-amazon.com/images/M/MV5BM2U0NDQxMDEtNzU1YS00ZjM2LTg3Y2QtZGRjMDAxMzBhODRkXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UY268_CR1,0,182,268_AL_.jpg"
116,Pie in the Sky (1996),http://c8.alamy.com/comp/BKPCHP/pie-in-the-sky-1996-bryan-gordon-dir-poster-pis-003-vs-BKPCHP.jpg
117,Angela (1995),https://cdn2.bigcommerce.com/server5000/yshlhd/products/7856/images/128913/full.angela-21984__18848.1512009469.1280.1280.jpg?c=2
118,Frankie Starlight (1995),http://www.impawards.com/1995/posters/frankie_starlight.jpg
119,Jade (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BYTcwZDIyMDEtN2Q4MS00ZTIxLWEwMjMtM2I5NWViOTNjMGRhXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
120,Down Periscope (1996),http://www.impawards.com/1996/posters/down_periscope.jpg
121,Man of the Year (1995),http://img.moviepostershop.com/man-of-the-year-movie-poster-1995-1020193487.jpg
122,Up Close and Personal (1996),http://img.moviepostershop.com/up-close-and-personal-movie-poster-1996-1020230811.jpg
123,The Birdcage (1996),http://img.moviepostershop.com/the-birdcage-movie-poster-1996-1020193390.jpg
124,The Brothers McMullen (1995),https://upload.wikimedia.org/wikipedia/en/thumb/d/d2/Brothers_mcmullen_poster.jpg/215px-Brothers_mcmullen_poster.jpg
125,Bad Boys (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMGE1ZTQ0ZTEtZTEwZS00NWE0LTlmMDUtMTE1ZWJiZTYzZTQ2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
126,The Amazing Panda Adventure (1995),http://www.impawards.com/1995/posters/amazing_panda_adventure.jpg
127,The Basketball Diaries (1995),http://c8.alamy.com/comp/EFBEX9/leonardo-dicaprio-poster-the-basketball-diaries-1995-EFBEX9.jpg
128,"Awfully Big Adventure, An (1995)","https://images-na.ssl-images-amazon.com/images/M/MV5BN2I1ZGQzM2YtYTlhYy00MmRiLTlhYWUtMjk2OTMyODNjNjgyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
129,Amateur (1994),https://upload.wikimedia.org/wikipedia/en/thumb/a/aa/Amateur_ver1.jpg/220px-Amateur_ver1.jpg
130,Apollo 13 (1995),http://www.impawards.com/1995/posters/apollo_thirteen_ver1.jpg
131,Rob Roy (1995),http://www.eric-stoltz.net/wp-content/uploads/2011/04/Rob-Roy.jpg
132,The Addiction (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMWYzN2EyMmMtMTU2My00MWY2LTkyMGYtMjk0MzVkZGZiMzNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
133,Batman Forever (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BNWY3M2I0YzItNzA1ZS00MzE3LThlYTEtMTg2YjNiOTYzODQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
134,Beauty of the Day (Belle de jour) (1967),https://s-media-cache-ak0.pinimg.com/originals/0f/f7/8c/0ff78c516937bd46bc9331f9e2646473.jpg
135,Beyond Rangoon (1995),http://img.moviepostershop.com/beyond-rangoon-movie-poster-1995-1020216079.jpg
136,Blue in the Face (1995),http://www.impawards.com/1995/posters/blue_in_the_face_ver1.jpg
137,Canadian Bacon (1995),http://img.moviepostershop.com/canadian-bacon-movie-poster-1995-1020199129.jpg
138,Casper (1995),http://img.moviepostershop.com/casper-movie-poster-1995-1020472370.jpg
139,Clockers (1995),http://www.impawards.com/1995/posters/clockers.jpg
140,Congo (1995),http://www.impawards.com/1995/posters/congo_ver1.jpg
141,Crimson Tide (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMmFkY2IxNTAtMWRiNS00MWU2LWI1NDYtY2YxYTQyYTk5OTBhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg"
142,Crumb (1994),"https://images-na.ssl-images-amazon.com/images/M/MV5BNThmZGJiYzctOTdhNS00ODhiLTg4NzctNDc1ZDRmOGU1MTJmXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY268_CR3,0,182,268_AL_.jpg"
143,Desperado (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BYjA0NDMyYTgtMDgxOC00NGE0LWJkOTQtNDRjMjEzZmU0ZTQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
144,Devil in a Blue Dress (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BNjI3NjFiNmMtMmQ1ZC00OTUwLWJlMWMtM2UxY2M2NDQ0OWJhXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL_.jpg"
145,Die Hard: With a Vengeance (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BZjI0ZWFiMmQtMjRlZi00ZmFhLWI4NmYtMjQ5YmY0MzIyMzRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
146,The Doom Generation (1995),http://img.moviepostershop.com/the-doom-generation-movie-poster-1995-1010272463.jpg
147,Feast of July (1995),https://www.movieposter.com/posters/archive/main/71/MPW-35854
148,First Knight (1995),http://www.impawards.com/1995/posters/first_knight.jpg
149,Free Willy 2: The Adventure Home (1995),http://img.moviepostershop.com/free-willy-2-the-adventure-home-movie-poster-1995-1010230640.jpg
150,Hackers (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BODg0NjQ5ODQ3OF5BMl5BanBnXkFtZTcwNjU4MjkzNA@@._V1_UY1200_CR85,0,630,1200_AL_.jpg"
151,Jeffrey (1995),http://www.impawards.com/1995/posters/jeffrey.jpg
152,Johnny Mnemonic (1995),http://www.impawards.com/1995/posters/johnny_mnemonic_ver1.jpg
153,Judge Dredd (1995),http://www.impawards.com/1995/posters/judge_dredd_ver1.jpg
154,Jury Duty (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BN2RlNGM4NjEtNjUxZC00YjA2LThjYjQtMDdkNDA1YzNlNzJjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
155,Kids (1995),https://i.ebayimg.com/thumbs/images/m/m0J1pMQnCwMkCpC1ZrBltMA/s-l225.jpg
156,Living in Oblivion (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BN2U2MDdjZjUtMGU1Ni00MzlkLTllZWQtZmJjNzJmYjE5YjAxXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg"
157,Lord of Illusions (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BNDg1OTc0MDQwNl5BMl5BanBnXkFtZTcwMjQ3NDk0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
158,Love & Human Remains (1993),https://twemoji.maxcdn.com/2/svg/1f498.svg
159,Mad Love (1995),https://www.movieposter.com/posters/archive/main/18/MPW-9359
160,Mallrats (1995),http://www.impawards.com/1995/posters/mallrats_ver1.jpg
161,Mighty Morphin Power Rangers: The Movie (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BN2I2Y2I5N2MtMzJhMy00NzE2LThlMzEtNGE0ODA4M2JhOWNiXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL_.jpg"
162,Mute Witness (1994),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwMjczODAyOV5BMl5BanBnXkFtZTcwNDA5NjQyMQ@@._V1_UY268_CR0,0,182,268_AL_.jpg"
163,Nadja (1994),http://img.moviepostershop.com/nadja-movie-poster-1994-1020471727.jpg
164,The Net (1995),http://www.impawards.com/1995/posters/net.jpg
165,Nine Months (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BY2U3YTQzYWYtZTBlYi00ZmJjLTkzMjAtOTljYmE5MThhNzk5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
166,Party Girl (1995),http://www.impawards.com/1995/posters/party_girl.jpg
167,The Prophecy (1995),http://www.joblo.com/posters/images/full/1995-the-prophecy-poster2.jpg
168,Reckless (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4ODEzNDktM2U1ZC00MjhiLWEyMTgtNmI2NGM0ZWE3MTE2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UY268_CR0,0,182,268_AL_.jpg"
169,Safe (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BODliOWEzMTUtZDQ5ZS00ZTBmLTgzNzEtMGVkOTlhYWNkYjE2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
170,The Scarlet Letter (1995),http://static.m4ufree.io/uploads/40004500/The-Scarlet-Letter-1995-IMDb.jpg
171,Showgirls (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BNzcyMjExNjg3OF5BMl5BanBnXkFtZTgwOTY4Mjc1MDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
172,Smoke (1995),http://www.impawards.com/1995/posters/smoke.jpg
173,Something to Talk About (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BZDhmOTczMjItMzg5NS00OTFiLWEzYTctMjAxMTZmMWVmMmQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY1200_CR89,0,630,1200_AL_.jpg"
174,Species (1995),http://www.impawards.com/1995/posters/species_ver1.jpg
175,Strange Days (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BODFkMTBmNjktMjM1Yy00MjY5LTliMGEtM2FhYjE2YjRmN2RkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg"
